t,q1,q2,q3,p1,p2,p3,K,V
0.0,0.6707208715642307,0.32578855685425623,0.29613601133763545,0.438644805415752,0.7276315599622135,0.40173778025233564,0.2554654284360515,-0.14970131578586804
0.0048828125,0.6728642668880007,0.32756538388735457,0.29679011314199416,0.43928875537691686,0.7279446969628837,0.40202195673112723,0.25590011804171725,-0.15013600539152594
0.009765625,0.6750107893956105,0.32934297210783026,0.2974446747315836,0.43992568869517784,0.7282551157889287,0.402302760557879,0.25633076939723143,-0.1505666567470324
0.0146484375,0.6771604046616166,0.33112131481449975,0.29809969059857433,0.440555537971165,0.7285627631685172,0.40258016901565086,0.2567573147349125,-0.15099320208470587
0.01953125,0.6793130779311359,0.33290040517603764,0.298755155198163,0.44117823566645914,0.7288675857615675,0.40285415938824176,0.2571796861624267,-0.15141557351221235
0.0244140625,0.6814687741191763,0.33468023623081244,0.2994110629485744,0.44179371410734625,0.7291695301617398,0.403124708961279,0.25759781567064083,-0.15183370302041882
0.029296875,0.6836274578099845,0.3364608008867273,0.30006740823106587,0.44240190548862496,0.7294685428984539,0.4033917950233178,0.2580116351416039,-0.15224752249137424
0.0341796875,0.6857890932564144,0.33824209192106547,0.3007241853899325,0.4430027418774681,0.7297645704389316,0.4036553948669527,0.2584210763566562,-0.15265696370641885
0.0390625,0.6879536443793126,0.3400241019803411,0.30138138873251485,0.4435961552173369,0.7300575591902644,0.4039154857899399,0.25882607100466726,-0.15306195835442235
0.0439453125,0.690121074766925,0.3418068235801552,0.30203901252920806,0.44418207733195,0.7303474555015059,0.4041720450963304,0.25922655069040257,-0.15346243804014995
0.048828125,0.692291347674321,0.34359024910505614,0.3026970510134732,0.4447604399293047,0.7306342056657902,0.40442505009761487,0.2596224469430174,-0.1538583342927572
0.0537109375,0.6944644260228385,0.3453743708084061,0.3033554983818503,0.4453311746057535,0.7309177559224749,0.40467447811387874,0.26001369122468004,-0.15424957857441216
0.05859375,0.6966402723995496,0.3471591808122521,0.3040143487939731,0.44589421285013303,0.7311980524593097,0.40492030647496924,0.2604002149393222,-0.1546361022890467
0.0634765625,0.6988188490567449,0.34894467110720295,0.30467359637258623,0.44644948604794726,0.7314750414146309,0.40516251252167285,0.2607819494415179,-0.15501783679123476
0.068359375,0.7010001179114393,0.3507308335523111,0.30533323520356376,0.44699692548560477,0.7317486688795811,0.4054010736069042,0.2611588260454898,-0.155394713395199
0.0732421875,0.7031840405448996,0.3525176598749603,0.30599325933592986,0.44753646235470945,0.7320188809003537,0.40563596709690497,0.2615307760342426,-0.15576666338394418
0.078125,0.7053705782021907,0.3543051416707586,0.3066536627818817,0.4480680277564052,0.7322856234804639,0.4058671703724551,0.26189773066882416,-0.1561336180185181
0.0830078125,0.7075596917917462,0.35609327040343686,0.3073144395168139,0.4485915527057741,0.7325488425830453,0.40609466083009377,0.2622596211977133,-0.15649550854739963
0.087890625,0.7097513418849576,0.357882037404753,0.3079755834793452,0.449106968136289,0.7328084841331722,0.40631841588335166,0.26261637886633366,-0.15685226621601228
0.0927734375,0.7119454887157876,0.3596714338744022,0.3086370885713473,0.44961420490431897,0.7330644940202066,0.40653841296399407,0.26296793492669396,-0.1572038222763649
0.09765625,0.7141420921804046,0.36146145087993226,0.3092989486579753,0.4501131937936894,0.733316818100172,0.4067546295232747,0.26331422064715393,-0.15755010799681718
0.1025390625,0.7163411118368398,0.3632520793566653,0.30996115756770065,0.4506038655202952,0.7335654021981532,0.4069670430332001,0.26365516732231514,-0.15789105467197062
0.107421875,0.7185425069046663,0.36504331010762525,0.3106237090923459,0.45108615073676767,0.7338101921107207,0.40717563098780496,0.2639907062830364,-0.15822659363268404
0.1123046875,0.7207462362647025,0.36683513380347105,0.31128659698712163,0.4515599800371953,0.734051133608382,0.40738037090443807,0.26432076890657336,-0.15855665625621318
0.1171875,0.7229522584587375,0.36862754098243616,0.3119498149706653,0.45202528396189745,0.7342881724380578,0.4075812403250586,0.2646452866268416,-0.15888117397647358
0.1220703125,0.7251605316892802,0.370420522050274,0.3126133567250826,0.4524819930022524,0.7345212543255849,0.4077782168175432,0.26496419094480206,-0.15920007829442614
0.126953125,0.7273710138193326,0.37221406728020934,0.3132772158959906,0.4529300376055776,0.7347503249782449,0.4079712779770036,0.265277413438969,-0.15951330078858514
0.1318359375,0.7295836623721862,0.37400816681289656,0.313941386092563,0.45336934818006414,0.7349753300873176,0.40816040142711435,0.265584885776039,-0.15982077312564716
0.13671875,0.7317984345312435,0.37580281065638343,0.314605860887578,0.4537998550997639,0.7351962153306615,0.4083455648214514,0.26588653972164045,-0.16012242707124053
0.1416015625,0.7340152871398633,0.3775979886860815,0.3152706338174679,0.45422148870962953,0.7354129263753194,0.4085267458448406,0.26618230715120295,-0.16041819450079486
0.146484375,0.7362341767012314,0.37939369064474304,0.315935698382371,0.45463417933060796,0.7356254088801505,0.40870392221471696,0.2664721200609454,-0.16070800741052915
0.1513671875,0.7384550593782554,0.3811899061424442,0.3166010480461859,0.4550378572647859,0.7358336084984876,0.4088770716824935,0.266755910578982,-0.1609917979285575
0.15625,0.7406778909934859,0.3829866246565747,0.31726667623662785,0.45543245280058847,0.73603747088082,0.40904617203494087,0.26703361097654504,-0.16126949832611226
0.1611328125,0.7429026270290622,0.3847838355318345,0.3179325763452876,0.45581789621803037,0.7362369416775033,0.40921120109557685,0.26730515367932384,-0.16154104102888256
0.166015625,0.7451292226266839,0.3865815279802366,0.3185987417276921,0.4561941177940187,0.7364319665414929,0.4093721367260656,0.26757047127891825,-0.16180635862846848
